sep=;
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 2, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "breakout_close", "position_mode": "concurrent", "swing_bars": 3, "sl_mode": "swing_previous", "atr_dyn_period": 200, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.3, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 25, "ttm_kc_multiplier": 1.8, "ttm_min_squeeze_bars": 5, "use_bbwp_scoring": true, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 50, "use_continuation_score": true}
# Fecha: 2026-02-06T12:37:54.914445
zona_num;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
17;2025-10-27 15:20;2025-10-27 18:00;114676,25785;115756,6;0,94;DOWN;114650;Close Breakout;114650;0;WIN;2;19,0;159,42;Si;Si;33;198;16,4;55.0
18;2025-10-28 08:05;2025-10-28 14:15;113555,6;114668,39515000001;0,98;UP;114777,4;Close Breakout;114777,4;0;LOSS;-1;18,0;1,82;No;No;75;122;10,1;54.0
19;2025-10-29 09:15;2025-10-29 13:35;112495,95625;113566,9;0,95;DOWN;112415,3;Close Breakout;112415,3;0;WIN;2;20,0;44,41;Si;Si;53;193;16;54.0
20;2025-10-29 17:55;2025-10-29 23:20;111066,3;111777,22439999999;0,64;DOWN;110967,2;Close Breakout;110967,2;0;WIN;2;22,0;63,39;Si;Si;66;28;2,2;58.0
21;2025-10-29 23:05;2025-10-29 23:25;110444,01735000001;111078,30555;0,57;DOWN;110270,9;Close Breakout;110270,9;0;WIN;2;24,0;84,17;Si;Si;5;23;1,8;58.0
22;2025-10-30 07:05;2025-10-30 08:15;109624,9045;110460,32575;0,76;DOWN;109392,9;Close Breakout;109392,9;0;WIN;2;26,0;76,93;Si;Si;15;36;2,9;58.0
23;2025-10-30 18:45;2025-10-30 19:55;107271,40609999998;108041,8;0,72;UP;108203,4;Close Breakout;108203,4;0;WIN;2;28,0;4,59;Si;Si;15;36;2,9;58.0
24;2025-11-02 18:50;2025-11-02 20:00;109169,1;110465;1,18;UP;110588,8;Close Breakout;110588,8;0;LOSS;-1;27,0;0,11;No;No;15;800;66,6;51.0
25;2025-11-08 19:10;2025-11-09 08:25;102062,15255000001;102953,39825;0,87;DOWN;102009,2;Close Breakout;102009,2;0;LOSS;-1;26,0;97,77;Si;Si;160;363;30,2;55.0
26;2025-11-09 04:45;2025-11-09 06:10;101764,67595;102072,79875000002;0,3;DOWN;101750;Close Breakout;101750;0;LOSS;-1;25,0;120,67;Si;Si;18;22;1,8;67.0
27;2025-11-09 13:45;2025-11-09 19:35;103402,00094999999;103798,99914999999;0,38;UP;104266,7;Close Breakout;104266,7;0;WIN;2;27,0;4,03;Si;Si;71;21;1,7;61.0
28;2025-11-11 07:20;2025-11-11 10:25;104932,42845;105485,34185;0,53;DOWN;104923,1;Close Breakout;104923,1;0;WIN;2;29,0;79,22;Si;Si;38;25;2;64.0
29;2025-11-11 10:25;2025-11-12 04:10;103844;104655,77914999999;0,78;DOWN;103669,7;Close Breakout;103669,7;0;LOSS;-1;28,0;45,86;Si;Si;214;32;2,6;60.0
30;2025-11-12 03:25;2025-11-12 10:35;102984,3992;103667,07775000001;0,66;UP;103811,3;Close Breakout;103811,3;0;LOSS;-1;27,0;1,88;No;No;87;66;5,4;62.0
31;2025-11-12 09:45;2025-11-12 11:10;104477,1;105200;0,69;DOWN;103875,3;Close Breakout;103875,3;0;WIN;2;29,0;34,57;Si;Si;18;51;4,2;58.0
