sep=;
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 2, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "breakout_close", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "swing_previous", "atr_dyn_period": 200, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.3, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 25, "ttm_kc_multiplier": 1.8, "ttm_min_squeeze_bars": 5, "use_bbwp_scoring": true, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70}
# Fecha: 2026-02-05T22:25:12.229729
zona_num;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
21;2025-10-26 17:00;2025-10-28 15:10;112921,8;113707,23409999999;0,69;UP;114743,9;Close Breakout;114743,9;0;LOSS;-1;15,0;0,84;No;No;555;40;3,2;47.0
22;2025-10-27 15:20;2025-10-28 09:10;114676,25785;115756,6;0,94;DOWN;114650;Close Breakout;114650;0;LOSS;-1;14,0;49,49;Si;Si;215;198;16,4;45.0
23;2025-10-28 08:05;2025-10-28 14:15;113555,6;114668,39515000001;0,98;UP;114777,4;Close Breakout;114777,4;0;LOSS;-1;13,0;1,82;No;No;75;122;10,1;44.0
24;2025-10-29 09:15;2025-10-29 13:35;112495,95625;113566,9;0,95;DOWN;112415,3;Close Breakout;112415,3;0;WIN;2;15,0;44,41;Si;Si;53;193;16;79.0
25;2025-10-29 17:55;2025-10-29 23:20;111066,3;111777,22439999999;0,64;DOWN;110967,2;Close Breakout;110967,2;0;WIN;2;17,0;63,39;Si;Si;66;28;2,2;88.0
26;2025-10-29 23:05;2025-10-29 23:25;110444,01735000001;111078,30555;0,57;DOWN;110270,9;Close Breakout;110270,9;0;WIN;2;19,0;84,17;Si;Si;5;23;1,8;93.0
27;2025-10-30 07:05;2025-10-30 08:35;109624,9045;110460,32575;0,76;DOWN;109392,9;Close Breakout;109392,9;0;WIN;2;21,0;64,67;Si;Si;19;36;2,9;78.0
28;2025-10-30 15:55;2025-10-30 20:05;106225;107433,37154999998;1,13;UP;107447,1;Close Breakout;107447,1;0;WIN;2;23,0;3,07;Si;Si;51;33;2,7;49.0
29;2025-10-30 18:45;2025-10-30 20:10;107271,40609999998;108041,8;0,72;UP;108203,4;Close Breakout;108203,4;0;WIN;2;25,0;3,52;Si;Si;18;36;2,9;73.0
30;2025-11-02 18:50;2025-11-02 20:00;109169,1;110465;1,18;UP;110588,8;Close Breakout;110588,8;0;LOSS;-1;24,0;0,11;No;No;15;800;66,6;41.0
31;2025-11-04 00:15;2025-11-04 03:10;106416,8;108035,24325000001;1,51;DOWN;106119,1;Close Breakout;106119,1;0;WIN;2;26,0;40,71;Si;Si;36;282;23,4;84.0
32;2025-11-04 11:15;2025-11-04 16:35;102941,9;104694;1,69;DOWN;102844,5;Close Breakout;102844,5;0;WIN;2;28,0;21,82;Si;Si;65;84;6,9;56.0
33;2025-11-05 07:15;2025-11-05 11:50;100021,51235000002;102139,07370000001;2,09;UP;102146,3;Close Breakout;102146,3;0;WIN;2;30,0;5,88;Si;Si;56;200;16,6;69.0
34;2025-11-06 09:30;2025-11-06 11:40;102562,2;104054,3;1,44;DOWN;102560,7;Close Breakout;102560,7;0;WIN;2;32,0;43,14;Si;Si;27;196;16,2;68.0
35;2025-11-07 04:50;2025-11-07 12:20;100820,9;102217,74235;1,38;DOWN;100800,1;Close Breakout;100800,1;0;LOSS;-1;31,0;33,56;Si;Si;91;124;10,2;38.0
36;2025-11-08 19:10;2025-11-09 08:25;102062,15255000001;102953,39825;0,87;DOWN;102009,2;Close Breakout;102009,2;0;LOSS;-1;30,0;97,77;Si;Si;160;363;30,2;50.0
37;2025-11-09 04:45;2025-11-09 06:10;101764,67595;102072,79875000002;0,3;DOWN;101750;Close Breakout;101750;0;LOSS;-1;29,0;120,67;Si;Si;18;22;1,8;62.0
38;2025-11-09 13:45;2025-11-09 19:35;103402,00094999999;103798,99914999999;0,38;UP;104266,7;Close Breakout;104266,7;0;WIN;2;31,0;4,03;Si;Si;71;21;1,7;86.0
39;2025-11-11 00:10;2025-11-12 11:00;105455,1;106942,9;1,4;DOWN;105316,5;Close Breakout;105316,5;0;WIN;2;33,0;26,02;Si;Si;419;264;21,9;64.0
40;2025-11-11 07:20;2025-11-11 08:25;104932,42845;105485,34185;0,53;DOWN;104923,1;Close Breakout;104923,1;0;WIN;2;35,0;108,68;Si;Si;14;25;2;99.0
41;2025-11-11 10:25;2025-11-12 04:10;103844;104655,77914999999;0,78;DOWN;103669,7;Close Breakout;103669,7;0;LOSS;-1;34,0;45,86;Si;Si;214;32;2,6;60.0
42;2025-11-12 03:25;2025-11-12 10:35;102984,3992;103667,07775000001;0,66;UP;103811,3;Close Breakout;103811,3;0;LOSS;-1;33,0;1,88;No;No;87;66;5,4;62.0
43;2025-11-12 09:45;2025-11-12 11:10;104477,1;105200;0,69;DOWN;103875,3;Close Breakout;103875,3;0;WIN;2;35,0;34,57;Si;Si;18;51;4,2;73.0
44;2025-11-13 00:30;2025-11-13 02:15;101692,69059999999;102303,52939999998;0,6;UP;102315,7;Close Breakout;102315,7;0;WIN;2;37,0;2,33;Si;No;22;20;1,6;89.0
45;2025-11-13 08:25;2025-11-13 09:50;102650,35425000002;103228,86279999999;0,56;DOWN;102506,2;Close Breakout;102506,2;0;LOSS;-1;36,0;58,48;Si;Si;18;42;3,4;54.0
46;2025-11-13 17:05;2025-11-13 23:30;98006,05115000001;98851,7;0,86;UP;98980,1;Close Breakout;98980,1;0;LOSS;-1;35,0;1,46;No;No;78;28;2,2;46.0
47;2025-11-13 23:30;2025-11-16 17:00;98734,4;99846,4044;1,12;DOWN;97670,3;Close Breakout;97670,3;0;WIN;2;37,0;16,93;Si;Si;787;39;3,2;72.0
48;2025-11-14 12:40;2025-11-14 15:40;96323,4;97592,25365;1,31;DOWN;96311,3;Close Breakout;96311,3;0;WIN;2;39,0;33,97;Si;Si;37;122;10,1;70.0
49;2025-11-17 08:25;2025-11-17 09:35;94772,85235000002;96689,56585000001;2,0;DOWN;94548;Close Breakout;94548;0;LOSS;-1;38,0;25,52;Si;Si;15;724;60,2;51.0
50;2025-11-17 21:55;2025-11-18 07:40;91129,6;92437,08444999998;1,42;DOWN;90827,1;Close Breakout;90827,1;0;LOSS;-1;37,0;35,44;Si;Si;118;60;4,9;45.0
51;2025-11-18 03:00;2025-11-18 11:20;89327,5;90511,62939999999;1,32;UP;90695;Close Breakout;90695;0;WIN;2;39,0;5,17;Si;Si;101;32;2,6;82.0
52;2025-11-18 10:15;2025-11-19 00:05;91036,6;92258,5;1,33;UP;92369,4;Close Breakout;92369,4;0;LOSS;-1;38,0;3,73;Si;Si;167;29;2,3;54.0
53;2025-11-18 22:35;2025-11-19 11:15;91959,03994999999;93061,4;1,19;DOWN;91830,1;Close Breakout;91830,1;0;WIN;2;40,0;30,87;Si;Si;153;84;6,9;67.0
54;2025-11-19 10:30;2025-11-19 19:25;91043,9;91984,7;1,03;DOWN;90668,3;Close Breakout;90668,3;0;LOSS;-1;39,0;25,77;Si;Si;108;45;3,7;51.0
55;2025-11-20 01:30;2025-11-20 09:10;92346,12125000001;93016,24420000002;0,72;DOWN;92245,4;Close Breakout;92245,4;0;WIN;2;41,0;35,77;Si;Si;93;21;1,7;84.0
56;2025-11-20 09:00;2025-11-20 11:45;91454,00344999999;92072,87005;0,67;DOWN;91014,3;Close Breakout;91014,3;0;WIN;2;43,0;20,95;Si;Si;34;49;4;83.0
57;2025-11-20 21:40;2025-11-21 02:30;86268,6;87564,33544999998;1,49;DOWN;85857;Close Breakout;85857;0;WIN;2;45,0;16,2;Si;Si;59;28;2,2;64.0
58;2025-11-21 02:20;2025-11-21 02:30;85330;86444,48779999999;1,3;DOWN;85284;Close Breakout;85284;0;WIN;2;47,0;27,13;Si;Si;3;32;2,6;64.0
59;2025-11-22 17:25;2025-11-22 20:15;83528,3;85565,90855;2,41;UP;84569;Close Breakout;84569;0;WIN;2;49,0;34,67;Si;Si;35;337;28;64.0
60;2025-11-23 07:10;2025-11-24 04:25;85928,1;86431,09765;0,58;UP;86573,3;Close Breakout;86573,3;0;LOSS;-1;48,0;14,74;Si;Si;256;36;2,9;58.0
61;2025-11-23 23:15;2025-11-24 00:25;87143,68274999999;88082,9;1,07;DOWN;86730,2;Close Breakout;86730,2;0;LOSS;-1;47,0;26,11;Si;Si;15;108;8,9;50.0
62;2025-11-24 04:05;2025-11-24 11:40;86651,43334999999;87280;0,72;DOWN;86521,8;Close Breakout;86521,8;0;LOSS;-1;46,0;33,68;Si;Si;92;37;3;48.0
63;2025-11-24 11:00;2025-11-26 12:40;85613,4;86675,1;1,23;UP;87050,1;Close Breakout;87050,1;0;WIN;2;48,0;9,13;Si;Si;597;64;5,2;70.0
64;2025-11-24 18:50;2025-11-25 09:40;88263,3;89145,04869999998;0,99;DOWN;88229,5;Close Breakout;88229,5;0;WIN;2;50,0;34,8;Si;Si;179;34;2,8;55.0
65;2025-11-25 02:45;2025-11-25 04:25;87582,3;88358,2151;0,88;DOWN;87578,6;Close Breakout;87578,6;0;WIN;2;52,0;61,3;Si;Si;21;34;2,8;80.0
66;2025-11-26 04:05;2025-11-26 12:10;87263,32515000002;88102,88274999999;0,96;DOWN;87257,5;Close Breakout;87257,5;0;LOSS;-1;51,0;39,9;Si;Si;98;259;21,5;46.0
67;2025-11-26 16:25;2025-11-26 21:30;89582,0237;90051,84629999999;0,52;UP;90222,5;Close Breakout;90222,5;0;WIN;2;53,0;12,43;Si;Si;62;25;2;75.0
68;2025-11-26 20:55;2025-11-30 19:00;90010,1379;90706,4;0,77;UP;91093;Close Breakout;91093;0;LOSS;-1;52,0;6,43;Si;Si;1130;54;4,4;47.0
69;2025-11-27 07:50;2025-11-27 13:35;91055,7;91639,85335;0,64;DOWN;90932,6;Close Breakout;90932,6;0;LOSS;-1;51,0;43,98;Si;Si;70;29;2,3;50.0
70;2025-12-02 05:40;2025-12-02 09:25;86242;86984,55585;0,86;UP;87027,1;Close Breakout;87027,1;0;WIN;2;53,0;14,11;Si;Si;46;319;26,5;83.0
71;2025-12-02 08:50;2025-12-02 09:45;87030,3;87557,03025;0,6;UP;87661,5;Close Breakout;87661,5;0;WIN;2;55,0;15,73;Si;Si;12;30;2,4;94.0
72;2025-12-02 18:35;2025-12-02 20:30;91421,2085;92250,07045000001;0,9;DOWN;91395,1;Close Breakout;91395,1;0;LOSS;-1;54,0;55,77;Si;Si;24;65;5,3;52.0
