sep=;
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 2, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "breakout_close", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "swing_previous", "atr_dyn_period": 200, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.3, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 25, "ttm_kc_multiplier": 1.8, "ttm_min_squeeze_bars": 5, "use_bbwp_scoring": true, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 40}
# Fecha: 2026-02-06T14:05:40.835913
zona_num;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
331;2025-09-07 12:05;2025-09-07 18:15;111136,10269999999;111308,27729999999;0,15;DOWN;111084;Close Breakout;111084;0;LOSS;-1;170,0;202,52;Si;Si;75;22;1,8;63.0
332;2025-09-08 01:20;2025-09-08 03:25;110785,39075;111045,90380000001;0,23;UP;111084,3;Close Breakout;111084,3;0;WIN;2;172,0;62,7;Si;Si;26;21;1,7;62.0
333;2025-09-08 19:20;2025-09-09 01:00;111735,5;112440,495;0,63;DOWN;111625,9;Close Breakout;111625,9;0;LOSS;-1;171,0;61,29;Si;Si;69;165;13,7;58.0
334;2025-09-08 22:35;2025-09-09 01:00;111132,86745;111500;0,33;UP;111505,4;Close Breakout;111505,4;0;WIN;2;173,0;32,87;Si;Si;30;28;2,2;52.0
335;2025-09-09 00:55;2025-09-09 01:35;111742,52560000002;112057,22440000004;0,28;UP;112125,2;Close Breakout;112125,2;0;WIN;2;175,0;40,07;Si;Si;9;20;1,6;63.0
336;2025-09-09 06:30;2025-09-09 09:30;112603,5;113106,11784999998;0,45;DOWN;112561;Close Breakout;112561;0;WIN;2;177,0;118,74;Si;Si;37;48;3,9;59.0
337;2025-09-09 23:25;2025-09-10 07:30;110862,68960000001;111550,72529999999;0,62;UP;111551,9;Close Breakout;111551,9;0;WIN;2;179,0;21,25;Si;Si;98;39;3,2;58.0
338;2025-09-10 07:15;2025-09-10 08:05;112094,3559;112431,99794999998;0,3;UP;112611,3;Close Breakout;112611,3;0;WIN;2;181,0;25,68;Si;Si;11;41;3,3;62.0
339;2025-09-11 17:15;2025-09-11 18:45;113303;114559,42524999999;1,1;UP;114582,4;Close Breakout;114582,4;0;WIN;2;183,0;28,96;Si;Si;19;372;30,9;53.0
340;2025-09-12 11:55;2025-09-12 13:30;114771,6;115392,4;0,54;UP;115434,7;Close Breakout;115434,7;0;WIN;2;185,0;23,28;Si;Si;20;99;8,2;52.0
341;2025-09-14 08:30;2025-09-14 16:15;115409,61055;116215,91885;0,7;DOWN;115299,6;Close Breakout;115299,6;0;LOSS;-1;184,0;106,34;Si;Si;94;466;38,8;56.0
342;2025-09-16 10:55;2025-09-17 13:15;114861,5;115514,28505000002;0,57;UP;115869,9;Close Breakout;115869,9;0;LOSS;-1;183,0;11,36;Si;Si;317;589;49;59.0
343;2025-09-17 03:05;2025-09-17 03:15;116412,3;117242,66360000001;0,71;UP;117028,7;Close Breakout;117028,7;0;LOSS;-1;182,0;85,41;Si;Si;3;107;8,8;45.0
344;2025-09-17 09:20;2025-09-17 17:15;115831;116449,9;0,53;DOWN;115753,8;Close Breakout;115753,8;0;LOSS;-1;181,0;105,57;Si;Si;96;44;3,6;53.0
