sep=;
# Multi-simbolo: BTCUSDT, ETHUSDT, XRPUSDT, TRXUSDT, GALAUSDT, SUIUSDT, SOLUSDT, ADAUSDT, DOGEUSDT, BNBUSDT
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 6, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "va_breakout", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "zone_opposite", "atr_dyn_period": 100, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.5, "atr_dyn_min_bars": 20, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 30, "ttm_kc_multiplier": 1, "ttm_min_squeeze_bars": 10, "use_bbwp_scoring": false, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 30, "use_continuation_score": false, "sl_poc_buffer_pct": 50, "vp_bins_per_zone": 30, "tp_rr_ratio": 1}
# Fecha: 2026-02-08T11:23:54.045562
zona_num;simbolo;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;sl_price;tp_price;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
47;SOLUSDT;2025-11-10 23:11;2025-11-10 23:41;169,26420000000002;170,34194999999997;0,63;DOWN;169,06;VA Breakout;169,06;0;170,2;167,92;WIN;2;55,0;89,31;Si;Si;31;36;0,6;64.0
48;BTCUSDT;2025-11-10 23:15;2025-11-10 23:37;106100;106608,49900000003;0,48;DOWN;106216,5;VA Breakout;106216,5;0;106533,24;105899,76;WIN;2;57,0;146,27;Si;Si;23;40;0,7;64.0
49;ADAUSDT;2025-11-10 23:15;2025-11-10 23:39;0,5957;0,6039945;1,38;DOWN;0,597;VA Breakout;0,597;0;0,6;0,59;WIN;2;59,0;54,83;Si;Si;25;105;1,7;61.0
50;DOGEUSDT;2025-11-10 23:23;2025-11-10 23:25;0,18206;0,1841007;1,11;DOWN;0,18239;VA Breakout;0,18239;0;0,18;0,18;WIN;2;61,0;109,63;Si;Si;3;106;1,8;55.0
51;TRXUSDT;2025-11-10 23:24;2025-11-10 23:25;0,2976609;0,29841;0,25;DOWN;0,29773;VA Breakout;0,29773;0;0,3;0,3;WIN;2;63,0;146,87;Si;Si;2;97;1,6;65.0
52;GALAUSDT;2025-11-10 23:24;2025-11-11 00:02;0,010631;0,010834;1,89;DOWN;0,01064;VA Breakout;0,01064;0;0,01;0,01;WIN;2;65,0;47,01;Si;Si;39;113;1,9;59.0
53;SUIUSDT;2025-11-10 23:24;2025-11-11 00:02;2,1676654999999996;2,2055549999999995;1,73;DOWN;2,1758;VA Breakout;2,1758;0;2,2;2,15;WIN;2;67,0;58,26;Si;Si;39;106;1,8;59.0
54;BNBUSDT;2025-11-10 23:32;2025-11-10 23:43;997,2;1006,5584999999999;0,93;DOWN;997,7;VA Breakout;997,7;0;1003,63;991,77;WIN;2;69,0;72,14;Si;Si;12;115;1,9;45.0
55;SOLUSDT;2025-11-10 23:37;2025-11-10 23:37;168,45655;169,2768;0,49;DOWN;168,55;VA Breakout;168,55;0;168,72;168,38;LOSS;-1;68,0;586,9;Si;Si;1;27;0,4;48.0
56;XRPUSDT;2025-11-10 23:39;2025-11-11 00:45;2,5141;2,5477305;1,33;DOWN;2,5146;VA Breakout;2,5146;0;2,55;2,48;WIN;2;70,0;35,67;Si;Si;67;112;1,9;39.0
57;TRXUSDT;2025-11-11 00:01;2025-11-11 00:03;0,29701560000000005;0,29733545000000006;0,11;DOWN;0,29706;VA Breakout;0,29706;0;0,3;0,3;WIN;2;72,0;138,42;Si;Si;3;25;0,4;47.0
58;GALAUSDT;2025-11-11 00:02;2025-11-11 00:15;0,010501080000000001;0,010570099999999997;0,66;DOWN;0,010484;VA Breakout;0,010484;0;0,01;0,01;WIN;2;74,0;77,87;Si;Si;14;25;0,4;66.0
59;SUIUSDT;2025-11-11 00:02;2025-11-11 00:07;2,1517920000000004;2,16388;0,56;DOWN;2,1502;VA Breakout;2,1502;0;2,16;2,14;WIN;2;76,0;141,03;Si;Si;6;25;0,4;64.0
60;SOLUSDT;2025-11-11 00:59;2025-11-11 01:04;164,87440000000004;165,94555;0,65;DOWN;165,07;VA Breakout;165,07;0;165,42;164,72;WIN;2;78,0;280,32;Si;Si;6;56;0,9;49.0
61;XRPUSDT;2025-11-11 01:03;2025-11-11 01:07;2,4717335;2,495227;0,95;DOWN;2,4718;VA Breakout;2,4718;0;2,48;2,46;WIN;2;80,0;107,84;Si;Si;5;54;0,9;56.0
62;GALAUSDT;2025-11-11 01:03;2025-11-11 01:05;0,010347;0,010437045;0,87;DOWN;0,010356;VA Breakout;0,010356;0;0,01;0,01;WIN;2;82,0;129,83;Si;Si;3;42;0,7;54.0
63;BTCUSDT;2025-11-11 01:04;2025-11-11 01:05;105181,94699999999;105429,34800000001;0,23;DOWN;105220;VA Breakout;105220;0;105370,76;105069,24;WIN;2;84,0;300,68;Si;Si;2;33;0,5;53.0
64;DOGEUSDT;2025-11-11 01:04;2025-11-11 01:07;0,17798589999999997;0,17933925;0,76;DOWN;0,17821;VA Breakout;0,17821;0;0,18;0,18;WIN;2;86,0;118,53;Si;Si;4;62;1,0;52.0
65;TRXUSDT;2025-11-11 01:14;2025-11-11 01:16;0,29601;0,29643;0,14;UP;0,29633;VA Breakout;0,29633;0;0,3;0,3;WIN;2;88,0;155,62;Si;Si;3;47;0,8;66.0
66;GALAUSDT;2025-11-11 01:44;2025-11-11 01:45;0,010311230000000001;0,010401105;0,87;DOWN;0,010339;VA Breakout;0,010339;0;0,01;0,01;WIN;2;90,0;151,8;Si;Si;2;35;0,6;64.0
67;SUIUSDT;2025-11-11 01:44;2025-11-11 02:17;2,1156975;2,1419249999999996;1,23;DOWN;2,1196;VA Breakout;2,1196;0;2,14;2,1;WIN;2;92,0;56,02;Si;Si;34;87;1,4;62.0
68;SOLUSDT;2025-11-11 01:45;2025-11-11 01:59;164,25895;165,23835;0,59;DOWN;164,24;VA Breakout;164,24;0;165,08;163,4;LOSS;-1;91,0;115,6;Si;Si;15;30;0,5;64.0
69;BNBUSDT;2025-11-11 01:45;2025-11-11 02:43;980,5;985,2115;0,48;DOWN;980,4;VA Breakout;980,4;0;984,84;975,96;WIN;2;93,0;92,55;Si;Si;59;93;1,5;66.0
70;ADAUSDT;2025-11-11 01:46;2025-11-11 02:18;0,5802;0,5901440000000001;1,7;DOWN;0,5806;VA Breakout;0,5806;0;0,58;0,58;WIN;2;95,0;84,88;Si;Si;33;124;2,0;57.0
71;DOGEUSDT;2025-11-11 01:47;2025-11-11 02:07;0,17724365;0,17841515;0,66;DOWN;0,17696;VA Breakout;0,17696;0;0,18;0,18;LOSS;-1;94,0;78,54;Si;Si;21;36;0,6;67.0
