sep=;
# Multi-simbolo: ETHUSDT, XRPUSDT, BTCUSDT, TRXUSDT, GALAUSDT, SUIUSDT, TRBUSDT, SOLUSDT, ADAUSDT, DOGEUSDT
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 6, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "va_breakout", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "zone_opposite", "atr_dyn_period": 100, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.5, "atr_dyn_min_bars": 20, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 30, "ttm_kc_multiplier": 1, "ttm_min_squeeze_bars": 10, "use_bbwp_scoring": false, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 30, "use_continuation_score": false, "sl_poc_buffer_pct": 50, "vp_bins_per_zone": 30, "tp_rr_ratio": 1}
# Fecha: 2026-02-08T08:53:30.852824
zona_num;simbolo;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;sl_price;tp_price;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
66;XRPUSDT;2026-02-02 01:16;2026-02-02 01:37;1,5324;1,5540965;1,41;UP;1,5645;VA Breakout;1,5645;0;1,54;1,59;LOSS;-1,0;78,0;3,42;Si;Si;22;37;0,6;62.0
67;TRXUSDT;2026-02-02 01:16;2026-02-02 01:25;0,28131609999999996;0,28177175000000004;0,16;UP;0,28207;VA Breakout;0,28207;0;0,28;0,28;LOSS;-1,0;77,0;8,4;Si;Si;10;36;0,6;68.0
68;GALAUSDT;2026-02-02 01:16;2026-02-02 01:36;0,004564;0,004635;1,54;UP;0,004654;VA Breakout;0,004654;0;0,0;0,0;LOSS;-1,0;76,0;3,21;Si;Si;21;50;0,8;61.0
69;ADAUSDT;2026-02-02 01:16;2026-02-02 01:37;0,2768805;0,2813;1,58;UP;0,2817;VA Breakout;0,2817;0;0,28;0,29;LOSS;-1,0;75,0;4,15;Si;Si;22;50;0,8;62.0
70;DOGEUSDT;2026-02-02 01:16;2026-02-02 01:35;0,10020574999999998;0,10121334999999998;1,0;UP;0,10175;VA Breakout;0,10175;0;0,1;0,1;LOSS;-1,0;74,0;6,3;Si;Si;20;25;0,4;64.0
71;ETHUSDT;2026-02-02 01:34;2026-02-02 01:37;2182,26625;2211,71625;1,34;DOWN;2181,67;VA Breakout;2181,67;0;2200,74;2162,6;WIN;2,0;76,0;23,15;Si;Si;4;56;0,9;62.0
72;TRXUSDT;2026-02-02 03:22;2026-02-02 07:34;0,28301395;0,28462;0,57;UP;0,28404;VA Breakout;0,28404;0;0,28;0,29;LOSS;-1,0;75,0;3,2;Si;Si;253;77;1,3;56.0
73;TRXUSDT;2026-02-02 04:02;2026-02-02 04:40;0,28339695;0,28412;0,25;UP;0,28391;VA Breakout;0,28391;0;0,28;0,28;LOSS;-1,0;74,0;6,9;Si;Si;39;40;0,7;53.0
74;ETHUSDT;2026-02-02 04:25;2026-02-02 04:29;2205,92275;2258,5222999999996;2,36;UP;2253,88;VA Breakout;2253,88;0;2233,99;2273,77;WIN;2,0;76,0;7,13;Si;Si;5;164;2,7;47.0
75;BTCUSDT;2026-02-02 04:25;2026-02-02 04:33;76043,32299999999;77146,9;1,44;UP;77003,5;VA Breakout;77003,5;0;76571,91;77435,09;WIN;2,0;78,0;5,52;Si;Si;9;164;2,7;51.0
76;TRXUSDT;2026-02-02 06:17;2026-02-02 06:17;0,28349320000000006;0,28391275;0,15;UP;0,28386;VA Breakout;0,28386;0;0,28;0,28;LOSS;-1,0;77,0;12,85;Si;Si;1;43;0,7;65.0
77;TRBUSDT;2026-02-02 06:29;2026-02-02 06:30;15,893935000000003;16,158619999999996;1,65;DOWN;16,02;VA Breakout;16,02;0;16,07;15,97;LOSS;-1,0;76,0;73,88;Si;Si;2;267;4,4;60.0
78;ETHUSDT;2026-02-02 07:15;2026-02-02 07:25;2268,45905;2301,9824;1,47;UP;2293,65;VA Breakout;2293,65;0;2271,62;2315,68;WIN;2,0;78,0;4,63;Si;Si;11;146;2,4;61.0
79;ADAUSDT;2026-02-02 07:18;2026-02-04 17:06;0,2817005000000001;0,2946295;4,49;UP;0,2939;VA Breakout;0,2939;0;0,28;0,31;LOSS;-1,0;77,0;0,84;No;No;3469;337;5,6;49.0
80;BTCUSDT;2026-02-02 07:20;2026-02-02 07:25;77353,142;77994,2;0,83;UP;77973,9;VA Breakout;77973,9;0;77594,02;78353,78;WIN;2,0;79,0;3,72;Si;Si;6;156;2,6;56.0
81;SUIUSDT;2026-02-02 07:20;2026-02-02 09:35;1,0930084999999998;1,1303;3,35;UP;1,1254;VA Breakout;1,1254;0;1,1;1,15;WIN;2,0;81,0;1,58;No;No;136;338;5,6;36.0
82;DOGEUSDT;2026-02-02 07:20;2026-02-02 10:17;0,10217419999999999;0,10556;3,26;UP;0,10551;VA Breakout;0,10551;0;0,1;0,11;WIN;2,0;83,0;1,5;No;No;178;339;5,6;47.0
83;SUIUSDT;2026-02-02 07:52;2026-02-02 07:56;1,1269680000000002;1,1321509999999997;0,46;UP;1,1317;VA Breakout;1,1317;0;1,13;1,14;WIN;2,0;85,0;9,59;Si;Si;5;27;0,4;43.0
84;GALAUSDT;2026-02-02 07:54;2026-02-02 09:22;0,004639855000000001;0,004766;2,68;UP;0,004766;VA Breakout;0,004766;0;0,0;0,0;WIN;2,0;87,0;5,17;Si;Si;89;366;6,1;56.0
85;DOGEUSDT;2026-02-02 08:18;2026-02-02 08:20;0,10555989999999997;0,10617;0,58;UP;0,10604;VA Breakout;0,10604;0;0,11;0,11;WIN;2,0;89,0;21,49;Si;Si;3;50;0,8;64.0
86;XRPUSDT;2026-02-02 08:19;2026-02-02 08:36;1,6364;1,6462269999999997;0,6;UP;1,6456;VA Breakout;1,6456;0;1,64;1,66;LOSS;-1,0;88,0;1,17;No;No;18;34;0,6;63.0
87;ADAUSDT;2026-02-02 08:19;2026-02-02 08:59;0,2944;0,2961;0,58;UP;0,2956;VA Breakout;0,2956;0;0,29;0,3;WIN;2,0;90,0;7,11;Si;Si;41;59;1,0;64.0
88;SOLUSDT;2026-02-02 08:33;2026-02-02 08:52;99,72755000000001;103,62;3,83;UP;103,32;VA Breakout;103,32;0;102,97;103,67;LOSS;-1,0;89,0;7,75;Si;Si;20;409;6,8;50.0
89;BTCUSDT;2026-02-02 08:54;2026-02-02 08:56;77709,38449999999;78058,5;0,45;UP;77967,7;VA Breakout;77967,7;0;77786,73;78148,67;WIN;2,0;91,0;7,85;Si;Si;3;83;1,4;40.0
90;XRPUSDT;2026-02-02 09:06;2026-02-02 09:10;1,6318;1,6449505;0,8;DOWN;1,6344;VA Breakout;1,6344;0;1,64;1,63;WIN;2,0;93,0;73,63;Si;Si;5;41;0,7;36.0
91;DOGEUSDT;2026-02-02 09:09;2026-02-02 09:10;0,10620399999999999;0,10685;0,61;DOWN;0,10627;VA Breakout;0,10627;0;0,11;0,11;WIN;2,0;95,0;95,75;Si;Si;2;34;0,6;42.0
92;SUIUSDT;2026-02-02 09:10;2026-02-02 09:30;1,130168;1,1443;1,24;DOWN;1,1327;VA Breakout;1,1327;0;1,14;1,13;LOSS;-1,0;94,0;47,14;Si;Si;21;69;1,1;61.0
93;ETHUSDT;2026-02-02 09:11;2026-02-02 09:30;2294,2637;2334,49;1,74;DOWN;2301,73;VA Breakout;2301,73;0;2328,78;2274,68;LOSS;-1,0;93,0;20,76;Si;Si;20;97;1,6;60.0
94;ADAUSDT;2026-02-02 09:26;2026-02-02 09:30;0,2950979999999999;0,2973;0,74;UP;0,2971;VA Breakout;0,2971;0;0,3;0,3;WIN;2,0;95,0;4,99;Si;Si;5;64;1,1;47.0
95;GALAUSDT;2026-02-02 09:29;2026-02-02 09:30;0,004753;0,004806;1,11;UP;0,00479;VA Breakout;0,00479;0;0,0;0,0;WIN;2,0;97,0;12,34;Si;Si;2;95;1,6;49.0
96;TRXUSDT;2026-02-02 11:37;2026-02-02 11:45;0,2843131;0,28467489999999995;0,13;DOWN;0,28421;VA Breakout;0,28421;0;0,28;0,28;WIN;2,0;99,0;68,21;Si;Si;9;21;0,3;67.0
97;ETHUSDT;2026-02-02 11:45;2026-02-02 12:41;2357,0894999999996;2389,6274000000003;1,37;DOWN;2363,63;VA Breakout;2363,63;0;2382,48;2344,78;WIN;2,0;101,0;33,07;Si;Si;57;74;1,2;62.0
98;GALAUSDT;2026-02-02 12:35;2026-02-02 14:52;0,004847205;0,004917005;1,43;DOWN;0,004854;VA Breakout;0,004854;0;0,0;0,0;WIN;2,0;103,0;32,55;Si;Si;138;115;1,9;48.0
99;ETHUSDT;2026-02-02 12:38;2026-02-02 12:41;2358,69;2381,08625;0,95;DOWN;2363,44;VA Breakout;2363,44;0;2375,53;2351,35;WIN;2,0;105,0;51,55;Si;Si;4;38;0,6;52.0
100;DOGEUSDT;2026-02-02 12:38;2026-02-02 13:22;0,10830070000000001;0,11009935;1,65;DOWN;0,10864;VA Breakout;0,10864;0;0,11;0,11;WIN;2,0;107,0;30,29;Si;Si;45;118;1,9;58.0
