zone_num;start_date;end_date;min_price;max_price;price_range_pct;breakout_direction;trade_result;trade_pnl_r;r_multiple;trading_score;candles_in_zone;duration_hours
93;2025-12-31 02:50;2025-12-31 03:35;88541,60;88713,20;0,19;DOWN;LOSS;-1,0;6,99;45;10;0,8
94;2025-12-31 03:45;2025-12-31 04:35;88350,20;88567,40;0,25;UP;WIN;2,0;2,89;63;11;0,8
95;2025-12-31 05:15;2025-12-31 06:35;88621,00;88904,30;0,32;UP;LOSS;-1,0;1,02;53;17;1,3
96;2025-12-31 08:00;2025-12-31 08:50;88710,00;88868,40;0,18;UP;WIN;2,0;2,06;68;11;0,8
97;2025-12-31 15:45;2025-12-31 16:30;87324,20;87750,00;0,49;UP;WIN;2,0;0,71;59;10;0,8
98;2025-12-31 16:40;2025-12-31 17:50;87722,20;87803,30;0,09;DOWN;LOSS;-1,0;2,55;58;15;1,2
99;2025-12-31 17:55;2025-12-31 19:15;87573,40;87695,50;0,14;UP;WIN;2,0;2,94;58;17;1,3
100;2025-12-31 19:20;2025-12-31 20:05;87676,20;87814,00;0,16;UP;LOSS;-1,0;1,74;49;10;0,8
101;2025-12-31 21:15;2025-12-31 22:50;87855,00;88054,00;0,23;DOWN;LOSS;-1,0;1,71;51;20;1,6
102;2025-12-31 23:45;2026-01-01 03:50;87519,60;87697,20;0,20;UP;WIN;2,0;2,26;71;50;4,1
103;2026-01-01 05:25;2026-01-01 06:05;87750,80;87833,30;0,09;UP;WIN;2,0;8,07;83;9;0,7
104;2026-01-01 06:45;2026-01-01 09:20;87881,90;88000,00;0,13;DOWN;LOSS;-1,0;1,08;51;32;2,6
105;2026-01-01 09:25;2026-01-01 10:35;87754,30;87932,10;0,20;UP;WIN;2,0;5,40;72;15;1,2
106;2026-01-01 10:45;2026-01-01 12:20;87836,30;88060,20;0,25;UP;WIN;2,0;3,71;88;20;1,6
107;2026-01-01 14:35;2026-01-01 17:10;88130,70;88409,60;0,32;UP;WIN;2,0;2,48;76;32;2,6
108;2026-01-01 20:20;2026-01-01 21:20;88500,00;88724,00;0,25;DOWN;LOSS;-1,0;0,53;26;13;1,0
109;2026-01-02 02:10;2026-01-02 03:30;88811,00;89030,00;0,25;UP;WIN;2,0;8,45;75;17;1,3
110;2026-01-02 19:35;2026-01-02 21:25;89975,20;90189,20;0,24;UP;LOSS;-1,0;1,21;30;23;1,8
111;2026-01-02 21:50;2026-01-02 23:35;90148,30;90336,70;0,21;DOWN;WIN;2,0;4,74;68;22;1,8
112;2026-01-02 23:50;2026-01-03 00:30;89980,00;90163,50;0,20;DOWN;WIN;2,0;3,95;76;9;0,7
113;2026-01-03 00:40;2026-01-03 02:10;89868,40;90094,90;0,25;DOWN;WIN;2,0;2,71;88;19;1,5
114;2026-01-03 05:45;2026-01-03 07:45;89623,00;89796,20;0,19;UP;WIN;2,0;3,37;72;25;2,0
115;2026-01-03 08:20;2026-01-03 09:20;89903,30;90027,20;0,14;UP;LOSS;-1,0;5,48;26;13;1,0
116;2026-01-03 10:05;2026-01-03 11:35;89934,20;90080,00;0,16;UP;WIN;2,0;10,33;63;19;1,5
117;2026-01-03 13:25;2026-01-03 15:30;90054,40;90150,00;0,11;UP;WIN;2,0;15,03;86;26;2,1
118;2026-01-03 18:15;2026-01-03 19:00;90500,00;90669,00;0,19;UP;WIN;2,0;6,55;85;10;0,8
119;2026-01-03 23:35;2026-01-04 03:40;91287,10;91555,00;0,29;DOWN;LOSS;-1,0;1,19;53;50;4,1
120;2026-01-04 05:55;2026-01-04 07:05;91283,60;91560,80;0,30;DOWN;LOSS;-1,0;1,71;37;15;1,2
121;2026-01-04 09:45;2026-01-04 13:50;91099,20;91344,40;0,27;DOWN;LOSS;-1,0;1,18;58;50;4,1
