ONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 3.18, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 7.57, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 3.08, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 3.98, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.93 (z-score: 12.84, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 3.06, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.91 (z-score: 6.25, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 3.08, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 1.27, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.93 (z-score: 2.42, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.91 (z-score: 1.72, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.91 (z-score: 2.78, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.92 (z-score: 10.27, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.92 (z-score: 2.84, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 5.84, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.92 (z-score: 1.24, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 4.16, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 1.76, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 12.56, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.92 (z-score: 2.31, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.91 (z-score: 4.82, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.91 (z-score: 1.89, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.91 (z-score: 4.53, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.91 (z-score: 5.06, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.90 (z-score: 2.08, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.90 (z-score: 3.16, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.90 (z-score: 7.90, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.90 (z-score: 3.26, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.91 (z-score: 2.16, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.91 (z-score: 58.94, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.91 (z-score: 4.22, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.91 (z-score: 1.26, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.91 (z-score: 30.90, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.91 (z-score: 2.49, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.91 (z-score: 13.37, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.91 (z-score: 1.42, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.90 (z-score: 5.94, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.92 (z-score: 5.63, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 3.01, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 2.30, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 2.14, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 9.97, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.95 (z-score: 2.48, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.91 (z-score: 2.85, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.92 (z-score: 1.48, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 8.00, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 1.19, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 3.81, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.87 (z-score: 1.45, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 6.44, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 1.78, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.87 (z-score: 6.39, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.85 (z-score: 3.24, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.85 (z-score: 5.40, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.85 (z-score: 1.62, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.85 (z-score: 3.33, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.85 (z-score: 1.02, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.86 (z-score: 1.18, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.86 (z-score: 4.88, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 2.07, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 10.89, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.86 (z-score: 10.28, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.86 (z-score: 5.37, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.87 (z-score: 1.19, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.86 (z-score: 7.80, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.86 (z-score: 2.08, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.86 (z-score: 1.53, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.86 (z-score: 1.91, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.87 (z-score: 2.64, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.85 (z-score: 2.43, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.86 (z-score: 1.23, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.86 (z-score: 1.47, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.85 (z-score: 2.02, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.86 (z-score: 1.12, direction: SHORT)
